method,seed,eval_index,generation,fitness,best_so_far,n_nodes
random_search,6,0,0,21.2131126469709,21.2131126469709,21
random_search,6,1,0,20.37581763205193,20.37581763205193,21
random_search,6,2,0,19.055294535724684,19.055294535724684,21
random_search,6,3,0,21.66405499221705,19.055294535724684,21
random_search,6,4,0,21.753720459187964,19.055294535724684,21
random_search,6,5,0,19.341640786499873,19.055294535724684,21
random_search,6,6,0,19.891153452528776,19.055294535724684,21
random_search,6,7,0,18.956465996625056,18.956465996625056,21
random_search,6,8,0,21.277154105707726,18.956465996625056,21
random_search,6,9,0,21.117935662402836,18.956465996625056,21
random_search,6,10,0,21.95306852353742,18.956465996625056,21
random_search,6,11,0,18.92756668824971,18.92756668824971,21
random_search,6,12,0,19.362873883832776,18.92756668824971,21
random_search,6,13,0,22.3576411454889,18.92756668824971,21
random_search,6,14,0,20.302172886644268,18.92756668824971,21
random_search,6,15,0,20.260681686165903,18.92756668824971,21
random_search,6,16,0,21.319160170741757,18.92756668824971,21
random_search,6,17,0,21.814642819948226,18.92756668824971,21
random_search,6,18,0,20.524845673131658,18.92756668824971,21
random_search,6,19,0,20.063818169698585,18.92756668824971,21
random_search,6,20,0,20.093468988235944,18.92756668824971,21
random_search,6,21,0,21.599999999999998,18.92756668824971,21
random_search,6,22,0,20.811871208194287,18.92756668824971,21
random_search,6,23,0,20.880697580112788,18.92756668824971,21
random_search,6,24,0,21.483266665599963,18.92756668824971,21
random_search,6,25,0,22.741653005427764,18.92756668824971,21
random_search,6,26,0,20.70293863659264,18.92756668824971,21
random_search,6,27,0,22.2131126469709,18.92756668824971,21
random_search,6,28,0,20.397366596101026,18.92756668824971,21
random_search,6,29,0,19.90454076850486,18.92756668824971,21
random_search,6,30,0,22.509980079602226,18.92756668824971,21
random_search,6,31,0,20.741653005427764,18.92756668824971,21
random_search,6,32,0,20.57763888346312,18.92756668824971,21
random_search,6,33,0,20.4591260281974,18.92756668824971,21
random_search,6,34,0,18.336660026534076,18.336660026534076,21
random_search,6,35,0,20.51657508881031,18.336660026534076,21
random_search,6,36,0,21.856349099818896,18.336660026534076,21
random_search,6,37,0,19.422497216032184,18.336660026534076,21
random_search,6,38,0,19.020465053408525,18.336660026534076,21
random_search,6,39,0,21.08679622641132,18.336660026534076,21
random_search,6,40,0,21.159126028197402,18.336660026534076,21
random_search,6,41,0,20.10554700852678,18.336660026534076,21
random_search,6,42,0,20.449444375840397,18.336660026534076,21
random_search,6,43,0,20.679075450674063,18.336660026534076,21
random_search,6,44,0,20.754065922853805,18.336660026534076,21
random_search,6,45,0,21.660107523773828,18.336660026534076,21
random_search,6,46,0,22.599999999999998,18.336660026534076,21
random_search,6,47,0,20.909975124224175,18.336660026534076,21
random_search,6,48,0,22.275711299845938,18.336660026534076,21
random_search,6,49,0,20.40831891575846,18.336660026534076,21
random_search,6,50,1,18.87840487520902,18.336660026534076,21
random_search,6,51,1,19.983239697419133,18.336660026534076,21
random_search,6,52,1,21.277154105707726,18.336660026534076,21
random_search,6,53,1,20.615587038162705,18.336660026534076,21
random_search,6,54,1,20.597617696340304,18.336660026534076,21
random_search,6,55,1,21.997057550292606,18.336660026534076,21
random_search,6,56,1,21.780697580112786,18.336660026534076,21
random_search,6,57,1,19.840967364599088,18.336660026534076,21
random_search,6,58,1,20.359591794226542,18.336660026534076,21
random_search,6,59,1,21.261706725018236,18.336660026534076,21
random_search,6,60,1,20.758317958127243,18.336660026534076,21
random_search,6,61,1,19.2,18.336660026534076,21
